,Numero,Pregunta,RE
0,1,La mayor parte del tiempo tengo dificultad para concentrarme en tareas sencillas,1
1,2,No siento ganas de hacer mis deberes cotidianos,1
2,6,Considero que mi vida está llena de cosas buenas,0
3,7,Mis aficiones siguen siendo importante,0
4,8,Sigo siendo tan puntual como siempre he sido,0
6,10,Me he dado cuenta de que puedo pasar mucho tiempo deslizando la pantalla de mi ceclular sin buscar o deternerme en algo en particular,1
9,13,Antes me sentía más animado para hacer mis actividades diarias,1
11,16,Creo que mis pensamientos son extraños o distintos a los de antes,1
12,17,Siento culpa sobre las decisiones que he tomado,1
13,18,No me siento tan cómodo con mi cuerpo como me sentía antes,1
14,19,Comparado con los demás no me siento exitoso,1
15,20,Me resulta complicado poder tomar decisiones aunque sean sencillas,1
16,22,No se me dificulta entender algo a la primera,0
18,28,Las decisiones que he tomado hasta hoy han sido las correctas,0
19,31,Me resulta fácil escoger una fotografía propia para mostrarla en las redes sociales,0
20,33,Tengo dificultades para recordar cosas con facilidad,1
21,34,. En los últimos meses he tenido discusiones con mis compañeros de escuela y/o trabajo,1
22,35,Constantemente imagino que algo saldrá mal en mi trabajo y/o en la escuela,1
23,36,Tengo miedo de equivocarme al hacer mis deberes,1
24,37,No me preocupa tanto lo que pueda pasar en unas semanas,0
26,39,Todo saldrá bien,0
27,40,Puedo poner mi mente en blanco con facilidad,0
28,41,Me molestan cosas insignificantes que antes no eran importantes,1
29,42,Me resulta incomodo estar en un espacio donde haya muchas personas,1
30,43,A veces me siento atrapado,1
34,47,Puedo expresarle con claridad a los otros cómo me siento,0
35,50,Imagino que en cualquier momento puede suceder un desastre de la naturaleza,1
36,52,Quedarme encerrado en un elevador sería de lo peor que podría pasarme,1
37,53,Me molesta la gente que camina lento por la calle frente a mí,1
38,56,Manejo mis horarios como siempre lo he hecho,0
39,57,Me incomoda sentir que la gente en la calle se me acerque,1
40,61,A veces olvido lo que quería decir porque tengo varios pensamientos a la vez,1
41,64,Puedo dejar el celular y dedicarme a leer sin distracciones,0
42,65,Me preocupa que la gente no entienda lo que quiero decir,1
43,67,Me enojo con facilidad,1
44,69,No me resulta importante cumplir con fechas establecidas,1
45,71,Utilizo las mentiras sólo para salir de algunos problemas,1
47,73,Tengo dificultades para hacer planes elaborados,1
48,74,La gente tiene problemas por su culpa,1
49,76,Las leyes no son tan importantes como otros creen,1
50,77,Me lamentaría al traicionar a un amigo,0
51,79,Se me facilita trabajar en equipo,0
52,80,Es importante ayudar a la gente cuando lo necesita,0
53,81,He golpeado a alguien o he pensado en hacerlo,1
54,82,Si fuera necesario me haría pasar por alguien más para conseguir algo,1
55,84,Después de una discusión suelo repasar en mi cabeza lo sucedido,0
56,88,A veces la gente necesita de la fuerza física para entender,1
57,92,No me parece grave tener algunas deudas,1
58,93,La gente roba porque tiene necesidades,1
59,97,La gente que comete crímenes tiene sus razones para hacerlo,1
60,99,Es importante respetar los turnos,0
